,n,null_cells,cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,first_quartile,median,third_quartile,percentiles,run_time,particles,area_km2,resolution,scalar,minute,stat_type,ars,Location
0,833041,1708959,2542000,0.0002149022329831496,0.9744943797588348,0.9742794775258516,0.009129776472717541,0.009129776472717541,0.034277125858958916,0.0011749213571509102,375.44321004341185,7605.478122609093,0.0026095992885529994,0.0036989746382459997,0.00558125195093453,"[{'percentile': 90, 'value': 0.009606779273599386}]",709.1024119853973,416632.0,0.833264,1,05,010,average,1.4168177538147775,coweeta
1,833041,1708959,2542000,0.0002149022329831496,1.4414667248725892,1.441251822639606,0.011251658498141824,0.011251658498141824,0.04804318299447212,0.002308147432240335,426.9875681207912,9373.092846950563,0.002610047208145261,0.0037008347455412148,0.0055985728744417426,"[{'percentile': 90, 'value': 0.009813870396465063}]",709.1024119853973,416632.0,0.833264,1,05,020,average,1.4168177538147775,coweeta
2,833041,1708959,2542000,0.0002149022329831496,2.1198901176452636,2.1196752154122804,0.012221499872739197,0.012221499872739197,0.05559173125053631,0.0030904405834318556,454.8683208231837,10181.010475486533,0.0026104675605893137,0.003702420205809176,0.0056093452963978056,"[{'percentile': 90, 'value': 0.009930111933499575}]",709.1024119853973,416632.0,0.833264,1,05,030,average,1.4168177538147775,coweeta
3,833041,1708959,2542000,0.0002149022329831496,2.7221070289611817,2.7218921267281986,0.0128422656637559,0.0128422656637559,0.06144028279130067,0.0037749083494749975,478.4224559744204,10698.133830800878,0.0026105193654075267,0.00370283795055002,0.005613069236278534,"[{'percentile': 90, 'value': 0.009984650928527117}]",709.1024119853973,416632.0,0.833264,1,05,040,average,1.4168177538147775,coweeta
4,833041,1708959,2542000,0.0002149022329831496,3.2553585052490233,3.25514360301604,0.013367796108303293,0.013367796108303293,0.06705633950134307,0.004496552667319384,501.6259894904561,11135.922237857083,0.002610554895363748,0.0037031810963526366,0.005615566996857524,"[{'percentile': 90, 'value': 0.010019899811595678}]",709.1024119853973,416632.0,0.833264,1,05,050,average,1.4168177538147775,coweeta
5,833041,1708959,2542000,0.0002149022329831496,3.736519765853882,3.736304863620899,0.013718659001302907,0.013718659001302907,0.07186466443471941,0.005164529994314824,523.8461312282358,11428.205413104375,0.0026105660479515793,0.0037033591885119676,0.005617174785584211,"[{'percentile': 90, 'value': 0.01004414651542902}]",709.1024119853973,416632.0,0.833264,1,05,060,average,1.4168177538147775,coweeta
6,833041,1708959,2542000,0.0002149022329831496,4.17922887802124,4.179013975788257,0.013938986911871483,0.013938986911871483,0.07607118995969188,0.005786825941883526,545.7440375017783,11611.747596052332,0.0026105850469321013,0.0037034030072391035,0.005618160869926214,"[{'percentile': 90, 'value': 0.010051397327333688}]",709.1024119853973,416632.0,0.833264,1,05,070,average,1.4168177538147775,coweeta
7,833041,1708959,2542000,0.0002149022329831496,4.592283773422241,4.592068871189258,0.014110262485340353,0.014110262485340353,0.0800390403374751,0.006406247978143966,567.2399108140651,11754.427171050413,0.0026105929398909213,0.00370345248375088,0.005618426343426108,"[{'percentile': 90, 'value': 0.010057068150490522}]",709.1024119853973,416632.0,0.833264,1,05,080,average,1.4168177538147775,coweeta
8,833041,1708959,2542000,0.0002149022329831496,4.98176417350769,4.981549271274707,0.014262052724938636,0.014262052724938636,0.0838896550987678,0.00703747423259022,588.2018298255082,11880.874664035606,0.0026105929398909213,0.0037034767679870128,0.005618660850450397,"[{'percentile': 90, 'value': 0.010059412755072116}]",709.1024119853973,416632.0,0.833264,1,05,090,average,1.4168177538147775,coweeta
9,833041,1708959,2542000,0.0002149022329831496,5.351978731155396,5.3517638289224125,0.014404284078199934,0.014404284078199934,0.08765484599252385,0.0076833720259730735,608.5331663597533,11999.359212787751,0.0026105929398909213,0.003703562985174358,0.005618853960186243,"[{'percentile': 90, 'value': 0.010062998812645673}]",709.1024119853973,416632.0,0.833264,1,05,100,average,1.4168177538147775,coweeta
10,833041,1708959,2542000,0.0002149022329831496,5.705354499816894,5.705139597583911,0.014539721364748723,0.014539721364748723,0.0913435491041507,0.008343643962942389,628.2345226065431,12112.184025411641,0.0026105932425707578,0.003703562985174358,0.005619078408926725,"[{'percentile': 90, 'value': 0.010065639391541481}]",709.1024119853973,416632.0,0.833264,1,05,110,average,1.4168177538147775,coweeta
11,833041,1708959,2542000,0.0002149022329831496,6.044981288909912,6.044766386676929,0.014669803172231991,0.014669803172231991,0.09495995537757211,0.009017393125310486,647.3158110077361,12220.54750439931,0.0026105932425707578,0.0037035947432741525,0.005619399668648839,"[{'percentile': 90, 'value': 0.010068607330322266}]",709.1024119853973,416632.0,0.833264,1,05,120,average,1.4168177538147775,coweeta
0,833041,1708959,2542000,0.0002149022329831496,0.9743136167526245,0.9740987145196414,0.009130704836815056,0.009130704836815056,0.0342771137424103,0.001174920526510133,375.4049041669245,7606.251487965252,0.002605770598165691,0.0037037687143310905,0.005584609229117632,"[{'percentile': 90, 'value': 0.009606060106307268}]",709.1024119853973,416632.0,0.833264,1,05,010,median,1.4168177538147775,coweeta
1,833041,1708959,2542000,0.0002149022329831496,1.4417016506195068,1.4414867483865237,0.011252630876937763,0.011252630876937763,0.04804345073749919,0.002308173158766511,426.9530500281859,9373.902878355111,0.002605770598165691,0.0037037687143310905,0.005599357886239886,"[{'percentile': 90, 'value': 0.009809390641748905}]",709.1024119853973,416632.0,0.833264,1,05,020,median,1.4168177538147775,coweeta
2,833041,1708959,2542000,0.0002149022329831496,2.119706392288208,2.119491490055225,0.012222481560407734,0.012222481560407734,0.05559200665061305,0.003090471203441805,454.8340398458211,10181.82826156362,0.002605770598165691,0.0037037687143310905,0.0056139526423066854,"[{'percentile': 90, 'value': 0.009930028580129147}]",709.1024119853973,416632.0,0.833264,1,05,030,median,1.4168177538147775,coweeta
3,833041,1708959,2542000,0.0002149022329831496,2.721948742866516,2.721733840633533,0.012843186008463094,0.012843186008463094,0.06144012188513571,0.0037748885772603317,478.38691929439756,10698.900515676105,0.002605770598165691,0.0037037687143310905,0.0056139526423066854,"[{'percentile': 90, 'value': 0.00998002290725708}]",709.1024119853973,416632.0,0.833264,1,05,040,median,1.4168177538147775,coweeta
4,833041,1708959,2542000,0.0002149022329831496,3.255442500114441,3.2552275978814578,0.013368687887902462,0.013368687887902462,0.06705585026292325,0.004496487054483585,501.58886814616375,11136.665126826156,0.002605770598165691,0.0037037687143310905,0.005614054622128606,"[{'percentile': 90, 'value': 0.010019863490015268}]",709.1024119853973,416632.0,0.833264,1,05,050,median,1.4168177538147775,coweeta
5,833041,1708959,2542000,0.0002149022329831496,3.7364661693573,3.7362512671243167,0.013719565860154112,0.013719565860154112,0.07186403772615418,0.005164439918306112,523.8069371777259,11428.960863708642,0.002605770598165691,0.0037037687143310905,0.005614054622128606,"[{'percentile': 90, 'value': 0.0100493966601789}]",709.1024119853973,416632.0,0.833264,1,05,060,median,1.4168177538147775,coweeta
6,833041,1708959,2542000,0.0002149022329831496,4.179222106933594,4.179007204700611,0.013939914657184988,0.013939914657184988,0.07607082994316823,0.00578677116824242,545.7051338830067,11612.52044593604,0.002605770598165691,0.0037037687143310905,0.005614054622128606,"[{'percentile': 90, 'value': 0.010049724020063877}]",709.1024119853973,416632.0,0.833264,1,05,070,median,1.4168177538147775,coweeta
7,833041,1708959,2542000,0.0002149022329831496,4.5925188064575195,4.592303904224536,0.014111197941013483,0.014111197941013483,0.0800386791369614,0.00640619015798946,567.1997478281629,11755.206443979812,0.002605770598165691,0.0037037687143310905,0.005614054622128606,"[{'percentile': 90, 'value': 0.010059494525194168}]",709.1024119853973,416632.0,0.833264,1,05,080,median,1.4168177538147775,coweeta
8,833041,1708959,2542000,0.0002149022329831496,4.9817054271698,4.981490524936817,0.014262984027733426,0.014262984027733426,0.08388921787652343,0.007037400875934817,588.160357702192,11881.650477447081,0.002605770598165691,0.0037037687143310905,0.005614054622128606,"[{'percentile': 90, 'value': 0.010059624910354614}]",709.1024119853973,416632.0,0.833264,1,05,090,median,1.4168177538147775,coweeta
9,833041,1708959,2542000,0.0002149022329831496,5.3520424365997314,5.351827534366748,0.014405222075869185,0.014405222075869185,0.08765457712473676,0.007683324890916426,608.491675193059,12000.140603304142,0.002605770598165691,0.0037037687143310905,0.005614054622128606,"[{'percentile': 90, 'value': 0.01005965145304799}]",709.1024119853973,416632.0,0.833264,1,05,100,median,1.4168177538147775,coweeta
10,833041,1708959,2542000,0.0002149022329831496,5.705438613891602,5.705223711658618,0.014540652888967354,0.014540652888967354,0.09134315997981415,0.008343572875097922,628.1915996297546,12112.960023278254,0.002605770598165691,0.0037037687143310905,0.005614054622128606,"[{'percentile': 90, 'value': 0.010069252923130989}]",709.1024119853973,416632.0,0.833264,1,05,110,median,1.4168177538147775,coweeta
11,833041,1708959,2542000,0.0002149022329831496,6.045053958892822,6.044839056659839,0.014670747945616373,0.014670747945616373,0.09495943332030285,0.009017293976513043,647.2705663836095,12221.334539364208,0.002605770598165691,0.0037037687143310905,0.005614054622128606,"[{'percentile': 90, 'value': 0.010069526266306639}]",709.1024119853973,416632.0,0.833264,1,05,120,median,1.4168177538147775,coweeta
0,833041,1708959,2542000,0.0002149022329831496,0.9738065600395203,0.9735916578065371,0.008614990286345967,0.008614990286345967,0.03419517471423425,0.0011693099737370052,396.92644538938964,7176.640123127931,0.0021652081049978733,0.003218590747565031,0.005053302738815546,"[{'percentile': 90, 'value': 0.008978043682873249}]",709.1024119853973,416632.0,0.833264,1,05,010,minimum,1.4168177538147775,coweeta
1,833041,1708959,2542000,0.0002149022329831496,1.440199613571167,1.4399847113381838,0.010734852577210689,0.010734852577210689,0.04795384819511878,0.0022995715567204968,446.7117536101177,8942.57232577217,0.0021652081049978733,0.003218590747565031,0.005053302738815546,"[{'percentile': 90, 'value': 0.009190559387207031}]",709.1024119853973,416632.0,0.833264,1,05,020,minimum,1.4168177538147775,coweeta
2,833041,1708959,2542000,0.0002149022329831496,2.1179962158203125,2.1177813135873294,0.011703399171194753,0.011703399171194753,0.055497416386203945,0.003079963225543698,474.1991243261888,9749.411348971247,0.0021652081049978733,0.003218590747565031,0.005084657110273838,"[{'percentile': 90, 'value': 0.009316508658230305}]",709.1024119853973,416632.0,0.833264,1,05,030,minimum,1.4168177538147775,coweeta
3,833041,1708959,2542000,0.0002149022329831496,2.7201099395751953,2.719895037342212,0.012323744245424803,0.012323744245424803,0.06134547344234947,0.003763267111866004,497.782753525772,10266.184229952923,0.0021652081049978733,0.003218590747565031,0.005084657110273838,"[{'percentile': 90, 'value': 0.00935824029147625}]",709.1024119853973,416632.0,0.833264,1,05,040,minimum,1.4168177538147775,coweeta
4,833041,1708959,2542000,0.0002149022329831496,3.253998279571533,3.25378337733855,0.012848990967561553,0.012848990967561553,0.06696340670317218,0.004484097837294445,521.1569287598332,10703.736284608443,0.0021652081049978733,0.003218590747565031,0.005084657110273838,"[{'percentile': 90, 'value': 0.00939984805881977}]",709.1024119853973,416632.0,0.833264,1,05,050,minimum,1.4168177538147775,coweeta
5,833041,1708959,2542000,0.0002149022329831496,3.735092878341675,3.7348779761086917,0.013199641637748944,0.013199641637748944,0.07177356627346422,0.00515144481561136,543.7539006225962,10995.842669552017,0.0021652081049978733,0.003218590747565031,0.005084657110273838,"[{'percentile': 90, 'value': 0.0094206053763628}]",709.1024119853973,416632.0,0.833264,1,05,060,minimum,1.4168177538147775,coweeta
6,833041,1708959,2542000,0.0002149022329831496,4.177742958068848,4.1775280558358645,0.013419861385806848,0.013419861385806848,0.07598195158033359,0.005773256965956158,566.1902861432968,11179.294748693923,0.0021652081049978733,0.003218590747565031,0.005084657110273838,"[{'percentile': 90, 'value': 0.009441332891583443}]",709.1024119853973,416632.0,0.833264,1,05,070,minimum,1.4168177538147775,coweeta
7,833041,1708959,2542000,0.0002149022329831496,4.589970588684082,4.589755686451099,0.013591081790460395,0.013591081790460395,0.0799516742276122,0.006392270211798228,588.2657132100436,11321.928365806918,0.0021652081049978733,0.003218590747565031,0.005084657110273838,"[{'percentile': 90, 'value': 0.009441332891583443}]",709.1024119853973,416632.0,0.833264,1,05,080,minimum,1.4168177538147775,coweeta
8,833041,1708959,2542000,0.0002149022329831496,4.979652404785156,4.979437502552173,0.013742817261339026,0.013742817261339026,0.08380324875067394,0.007022984501167333,609.7967189480668,11448.330234203124,0.0021652081049978733,0.003218590747565031,0.005084657110273838,"[{'percentile': 90, 'value': 0.009441332891583443}]",709.1024119853973,416632.0,0.833264,1,05,090,minimum,1.4168177538147775,coweeta
9,833041,1708959,2542000,0.0002149022329831496,5.349620342254639,5.3494054400216555,0.013884985259954057,0.013884985259954057,0.08756957885387237,0.0076684311406445705,630.6782269797103,11566.762005937388,0.0021652081049978733,0.003218590747565031,0.005084657110273838,"[{'percentile': 90, 'value': 0.009441332891583443}]",709.1024119853973,416632.0,0.833264,1,05,100,minimum,1.4168177538147775,coweeta
10,833041,1708959,2542000,0.0002149022329831496,5.703303337097168,5.703088434864185,0.014020396712092681,0.014020396712092681,0.09125980526350849,0.008328352056733492,650.9074396218499,11679.5652974384,0.0021652081049978733,0.003218590747565031,0.005084657110273838,"[{'percentile': 90, 'value': 0.009441332891583443}]",709.1024119853973,416632.0,0.833264,1,05,110,minimum,1.4168177538147775,coweeta
11,833041,1708959,2542000,0.0002149022329831496,6.042810916900635,6.042596014667652,0.014150443583087785,0.014150443583087785,0.09487854954599757,0.009001939163952316,670.4987655609169,11787.899672899031,0.0021652081049978733,0.003218590747565031,0.005084657110273838,"[{'percentile': 90, 'value': 0.009441332891583443}]",709.1024119853973,416632.0,0.833264,1,05,120,minimum,1.4168177538147775,coweeta
0,833041,1708959,2542000,0.0002149022329831496,0.9752749800682068,0.9750600778352236,0.009641383492369177,0.009641383492369177,0.034360507244778904,0.0011806444581185034,356.3856501712027,8031.667745866711,0.003045704448595643,0.004185741301625967,0.006112071685492992,"[{'percentile': 90, 'value': 0.010247111320495605}]",709.1024119853973,416632.0,0.833264,1,05,010,maximum,1.4168177538147775,coweeta
1,833041,1708959,2542000,0.0002149022329831496,1.4430395364761353,1.442824634243152,0.011765170843334628,0.011765170843334628,0.04813299389187469,0.0023167851009952465,409.1142791959003,9800.869684502322,0.003045704448595643,0.004185741301625967,0.006139707285910845,"[{'percentile': 90, 'value': 0.010441995225846767}]",709.1024119853973,416632.0,0.833264,1,05,020,maximum,1.4168177538147775,coweeta
2,833041,1708959,2542000,0.0002149022329831496,2.1220476627349854,2.121832760502002,0.012736278821080768,0.012736278821080768,0.05568638336535461,0.0031009732923132425,437.22647837438916,10609.842445391943,0.003045704448595643,0.004185741301625967,0.006139707285910845,"[{'percentile': 90, 'value': 0.010557768866419792}]",709.1024119853973,416632.0,0.833264,1,05,030,maximum,1.4168177538147775,coweeta
3,833041,1708959,2542000,0.0002149022329831496,2.7242913246154785,2.7240764223824954,0.01335772014235407,0.01335772014235407,0.06153744064347239,0.0037868566009488878,460.688201187508,11127.528545106776,0.003045704448595643,0.004185741301625967,0.006139707285910845,"[{'percentile': 90, 'value': 0.010615339502692223}]",709.1024119853973,416632.0,0.833264,1,05,040,maximum,1.4168177538147775,coweeta
